iter	Passed	Remaining
949	3958	208
950	3962	204
951	3965	199
952	3969	195
953	3972	191
954	3977	187
955	3980	183
956	3984	179
957	3988	174
958	3993	170
959	3996	166
960	3999	162
961	4003	158
962	4006	153
963	4008	149
964	4010	145
965	4012	141
966	4014	137
967	4016	132
968	4019	128
969	4021	124
970	4023	120
971	4025	115
972	4027	111
973	4029	107
974	4031	103
975	4034	99
976	4038	95
977	4041	90
978	4046	86
979	4052	82
980	4061	78
981	4070	74
982	4075	70
983	4082	66
984	4087	62
985	4092	58
986	4103	54
987	4107	49
988	4114	45
989	4117	41
990	4122	37
991	4129	33
992	4133	29
993	4138	24
994	4145	20
995	4148	16
996	4151	12
997	4156	8
998	4161	4
999	4165	0
